UID,Price,Date,Street,District,Region,Postcode,oseast1m,osnrth1m
595790,960000,05/13/2015 0:00,COMPAYNE GARDENS,CAMDEN,GREATER LONDON,NW63DN,526017,184568
594570,957500,05/27/2015 0:00,LINDFIELD GARDENS,CAMDEN,GREATER LONDON,NW36PU,526064,185307
594161,956250,02/18/2015 0:00,ELSWORTHY ROAD,CAMDEN,GREATER LONDON,NW33DL,527351,184095
593990,953079,12/17/2015 0:00,KEMPLAY ROAD,CAMDEN,GREATER LONDON,NW31SY,526776,185700
594243,952500,02/02/2015 0:00,BELSIZE AVENUE,CAMDEN,GREATER LONDON,NW34BG,527203,185091
927820,952500,08/26/2015 0:00,CENTRAL ST GILES PIAZZA,CAMDEN,GREATER LONDON,WC2H8AB,529978,181306
592657,950000,08/17/2015 0:00,ALBANY STREET,CAMDEN,GREATER LONDON,NW14DX,528821,182337
594011,950000,11/09/2015 0:00,HAY MEWS,CAMDEN,GREATER LONDON,NW32BG,527838,184707
594093,950000,06/17/2015 0:00,FLEET ROAD,CAMDEN,GREATER LONDON,NW32QT,527600,185444
594172,950000,09/01/2015 0:00,ETON AVENUE,CAMDEN,GREATER LONDON,NW33ET,526943,184407
594206,950000,12/01/2015 0:00,WINCHESTER ROAD,CAMDEN,GREATER LONDON,NW33ND,526858,184224
594485,950000,08/21/2015 0:00,WEDDERBURN ROAD,CAMDEN,GREATER LONDON,NW35QN,526939,185205
595171,950000,08/10/2015 0:00,KINGSWEAR ROAD,CAMDEN,GREATER LONDON,NW51EU,528680,186390
595595,950000,10/02/2015 0:00,RAVENSHAW STREET,CAMDEN,GREATER LONDON,NW61NP,524902,184993
595862,950000,07/30/2015 0:00,GREENCROFT GARDENS,CAMDEN,GREATER LONDON,NW63PH,525897,184266
595879,950000,03/20/2015 0:00,CLEVE ROAD,CAMDEN,GREATER LONDON,NW63RL,525505,184340
595885,950000,02/27/2015 0:00,FAIRHAZEL GARDENS,CAMDEN,GREATER LONDON,NW63SJ,526181,184296
597056,950000,05/18/2015 0:00,BOUNDARY ROAD,CAMDEN,GREATER LONDON,NW86NT,526682,183909
927441,950000,04/27/2015 0:00,MUSEUM STREET,CAMDEN,GREATER LONDON,WC1A1JN,530166,181492
927645,950000,04/17/2015 0:00,MILLMAN STREET,CAMDEN,GREATER LONDON,WC1N3ER,530698,182065
284558,946687,12/16/2015 0:00,HATTON GARDEN,CAMDEN,GREATER LONDON,EC1N8ER,531341,181904
594290,945000,02/03/2015 0:00,BELSIZE SQUARE,CAMDEN,GREATER LONDON,NW34HU,527010,184719
594569,945000,10/21/2015 0:00,LINDFIELD GARDENS,CAMDEN,GREATER LONDON,NW36PU,526064,185307
912187,945000,11/20/2015 0:00,WHITFIELD STREET,CAMDEN,GREATER LONDON,W1T5EG,529217,182202
927707,940800,07/01/2015 0:00,GRAYS INN ROAD,CAMDEN,GREATER LONDON,WC1X8HR,531114,181737
927709,940800,07/14/2015 0:00,GRAYS INN ROAD,CAMDEN,GREATER LONDON,WC1X8HR,531114,181737
593977,940000,02/06/2015 0:00,CARLINGFORD ROAD,CAMDEN,GREATER LONDON,NW31RY,526800,185727
594501,940000,11/19/2015 0:00,PRINCE ARTHUR ROAD,CAMDEN,GREATER LONDON,NW35TY,526596,185559
595300,940000,10/05/2015 0:00,LEIGHTON GROVE,CAMDEN,GREATER LONDON,NW52QP,529449,185272
595890,936000,09/14/2015 0:00,FAIRHAZEL GARDENS,CAMDEN,GREATER LONDON,NW63SR,525971,184583
592916,935000,12/16/2015 0:00,REGENTS PARK ROAD,CAMDEN,GREATER LONDON,NW17SY,528155,183744
594067,935000,01/09/2015 0:00,SAVERNAKE ROAD,CAMDEN,GREATER LONDON,NW32LG,527807,185677
927723,935000,05/01/2015 0:00,GRAYS INN ROAD,CAMDEN,GREATER LONDON,WC1X8UE,530712,182375
595547,932500,10/12/2015 0:00,LYMINGTON ROAD,CAMDEN,GREATER LONDON,NW61HQ,525993,185083
592902,931904,12/18/2015 0:00,DELANCEY STREET,CAMDEN,GREATER LONDON,NW17SA,528727,183590
927708,931200,07/03/2015 0:00,GRAYS INN ROAD,CAMDEN,GREATER LONDON,WC1X8HR,531114,181737
592091,930000,10/02/2015 0:00,BAYHAM PLACE,CAMDEN,GREATER LONDON,NW10ET,529299,183451
593955,930000,07/10/2015 0:00,ROSSLYN HILL,CAMDEN,GREATER LONDON,NW31NH,526816,185576
594425,930000,09/18/2015 0:00,COLLEGE CRESCENT,CAMDEN,GREATER LONDON,NW35DP,526630,184429
595147,927500,11/20/2015 0:00,HIGHGATE ROAD,CAMDEN,GREATER LONDON,NW51BE,528649,185854
595735,927000,07/07/2015 0:00,COTLEIGH ROAD,CAMDEN,GREATER LONDON,NW62NN,525262,184270
515655,925000,12/07/2015 0:00,POND SQUARE,CAMDEN,GREATER LONDON,N66BD,528327,187331
592667,925000,01/27/2015 0:00,CHESTER CLOSE SOUTH,CAMDEN,GREATER LONDON,NW14JG,528780,182657
593083,925000,09/04/2015 0:00,CANTELOWES ROAD,CAMDEN,GREATER LONDON,NW19XR,529934,184473
594174,925000,03/18/2015 0:00,ETON AVENUE,CAMDEN,GREATER LONDON,NW33HJ,526968,184468
594315,925000,05/08/2015 0:00,HOWITT ROAD,CAMDEN,GREATER LONDON,NW34LT,527331,184975
